Wall time,Step,Value
1744383597.142585,2048,-319.0061950683594
1744383620.598663,4096,-324.6395263671875
1744383643.9771242,6144,-434.9932861328125
1744383667.8118486,8192,-499.9061584472656
1744383692.032897,10240,-502.2945861816406
1744383716.3347397,12288,-512.7362670898438
1744383740.606059,14336,-499.74951171875
1744383764.8032298,16384,-524.8877563476562
1744383789.3005953,18432,-530.5830078125
1744383813.6018622,20480,-519.6754760742188
1744383837.8270564,22528,-511.6253356933594
1744383861.8115053,24576,-514.8584594726562
1744383885.621787,26624,-518.3042602539062
1744383909.8061724,28672,-506.3548889160156
1744383933.8203466,30720,-508.1778869628906
1744383957.7925029,32768,-526.135498046875
1744383981.67986,34816,-527.791259765625
1744384005.7638495,36864,-523.279296875
1744384029.7701764,38912,-517.3685913085938
1744384053.7487943,40960,-522.6806640625
1744384077.7482367,43008,-517.6213989257812
1744384101.61199,45056,-516.9306640625
1744384125.5800118,47104,-518.9061889648438
1744384149.7387717,49152,-509.3265075683594
1744384173.726768,51200,-510.1539001464844
1744384197.7575755,53248,-518.500732421875
1744384221.890812,55296,-523.2892456054688
1744384245.9495869,57344,-518.0154418945312
1744384270.1077452,59392,-511.09710693359375
1744384294.545648,61440,-516.6304321289062
1744384319.0709732,63488,-504.0350341796875
1744384343.6821797,65536,-493.973388671875
1744384368.0280235,67584,-486.97906494140625
1744384392.2725537,69632,-487.4945983886719
1744384416.379782,71680,-491.7431335449219
1744384440.6764593,73728,-490.0992736816406
1744384465.2753816,75776,-490.1751403808594
1744384489.6878254,77824,-490.23980712890625
1744384514.1482089,79872,-489.673828125
1744384538.4920218,81920,-474.71551513671875
1744384562.7348905,83968,-464.4582824707031
1744384586.7790928,86016,-455.41595458984375
1744384610.8350818,88064,-446.2672119140625
1744384634.940694,90112,-436.5837707519531
1744384658.9050152,92160,-428.3367004394531
1744384682.7718787,94208,-419.2345886230469
1744384706.7812765,96256,-410.52264404296875
1744384730.7239902,98304,-404.47161865234375
1744384755.5178466,100352,-399.80706787109375
1744384779.5234156,102400,-393.9388732910156
1744384803.5612624,104448,-376.4565734863281
1744384827.7077227,106496,-363.96160888671875
1744384851.738667,108544,-352.0036315917969
1744384875.7500415,110592,-340.6034851074219
1744384899.836658,112640,-339.1392517089844
1744384924.8626692,114688,-337.2941589355469
1744384948.9145982,116736,-336.304931640625
1744384972.851461,118784,-321.7248840332031
1744384996.9027574,120832,-317.444580078125
1744385020.8718657,122880,-301.9483947753906
1744385044.8236241,124928,-286.5584716796875
1744385068.802806,126976,-273.2997741699219
1744385092.7726228,129024,-259.62774658203125
1744385116.812269,131072,-254.85470581054688
1744385140.7875748,133120,-254.92913818359375
1744385164.7246609,135168,-246.48776245117188
1744385188.8071194,137216,-241.02401733398438
1744385212.9688501,139264,-235.58575439453125
1744385237.0396578,141312,-226.7293243408203
1744385261.106121,143360,-224.92979431152344
1744385285.1394975,145408,-223.74952697753906
1744385309.1441333,147456,-222.781982421875
1744385333.255149,149504,-219.1627655029297
1744385357.5403986,151552,-215.94918823242188
1744385381.6254318,153600,-214.27857971191406
1744385405.786943,155648,-208.38294982910156
1744385429.9233663,157696,-204.7227020263672
1744385454.004163,159744,-202.25125122070312
1744385478.025007,161792,-195.17547607421875
1744385502.1309028,163840,-189.674560546875
