Wall time,Step,Value
1744192359.3287203,2048,-261.9410095214844
1744192383.1519942,4096,-362.97412109375
1744192407.014509,6144,-445.8415832519531
1744192431.037627,8192,-460.0383605957031
1744192455.2066076,10240,-452.24951171875
1744192479.384619,12288,-472.26898193359375
1744192503.7914348,14336,-451.5763244628906
1744192528.086785,16384,-441.7493896484375
1744192552.2405422,18432,-417.5978698730469
1744192576.5597146,20480,-429.495849609375
1744192601.069884,22528,-433.8752136230469
1744192625.419961,24576,-443.6304626464844
1744192649.6473732,26624,-441.5081481933594
1744192673.9094787,28672,-444.21722412109375
1744192698.0907333,30720,-444.6669921875
1744192723.4618256,32768,-442.2778625488281
1744192748.1377752,34816,-446.2395324707031
1744192773.0034175,36864,-441.262451171875
1744192797.9255424,38912,-444.8868408203125
1744192822.922201,40960,-439.7983093261719
1744192847.664614,43008,-438.491943359375
1744192872.4482274,45056,-443.581298828125
1744192897.3489487,47104,-454.46783447265625
1744192922.5646377,49152,-449.113525390625
1744192947.5486412,51200,-447.16259765625
1744192972.7382083,53248,-450.49884033203125
1744192997.7088046,55296,-447.1652526855469
1744193022.8498626,57344,-437.93585205078125
1744193047.8249774,59392,-440.4398193359375
1744193072.7472134,61440,-438.5035095214844
1744193097.8113549,63488,-439.218017578125
1744193122.8987286,65536,-438.58587646484375
1744193147.8932245,67584,-443.5224914550781
1744193172.9028895,69632,-447.54376220703125
1744193197.8601801,71680,-445.6067810058594
1744193222.8851643,73728,-437.340576171875
1744193247.8060558,75776,-434.833251953125
1744193272.5403159,77824,-428.3502502441406
1744193297.5196414,79872,-420.8740539550781
1744193322.363002,81920,-413.46942138671875
1744193347.4305801,83968,-403.632080078125
1744193372.4684932,86016,-393.26513671875
1744193397.3933537,88064,-382.0460205078125
1744193422.3964026,90112,-373.1357421875
1744193447.3130283,92160,-363.5270690917969
1744193472.1908994,94208,-357.3115234375
1744193497.071984,96256,-338.6750183105469
1744193522.015766,98304,-324.1007385253906
1744193547.2743013,100352,-316.12811279296875
1744193572.2935882,102400,-308.3906555175781
1744193597.2372463,104448,-292.041015625
1744193622.1478708,106496,-288.4378356933594
1744193647.1332486,108544,-278.83184814453125
1744193672.0975626,110592,-264.8759460449219
1744193696.9815128,112640,-258.34613037109375
1744193722.0002496,114688,-254.95741271972656
1744193747.0900373,116736,-243.3223114013672
1744193772.1905935,118784,-232.22943115234375
1744193797.0095134,120832,-215.41026306152344
1744193822.0554676,122880,-211.36277770996094
1744193847.0184047,124928,-212.44078063964844
1744193872.0101604,126976,-207.36160278320312
1744193897.110911,129024,-201.24383544921875
1744193922.08017,131072,-198.736572265625
1744193947.1218176,133120,-198.9033203125
1744193972.1120198,135168,-201.6574249267578
1744193997.0276976,137216,-209.2705841064453
1744194022.2186453,139264,-215.5193634033203
1744194047.372964,141312,-217.34963989257812
1744194072.553658,143360,-214.3956756591797
1744194097.8074834,145408,-214.986083984375
1744194122.8124294,147456,-217.95318603515625
1744194147.7884214,149504,-221.92369079589844
1744194172.9346173,151552,-223.1855010986328
1744194198.2246666,153600,-231.08120727539062
1744194223.4064884,155648,-230.71542358398438
1744194248.7160478,157696,-233.95266723632812
1744194273.9036503,159744,-232.8363037109375
1744194299.0334315,161792,-229.9407958984375
1744194323.9699595,163840,-221.97256469726562
1744194348.969934,165888,-219.37710571289062
1744194373.933449,167936,-219.231689453125
1744194399.027938,169984,-217.57737731933594
1744194424.1622684,172032,-213.86570739746094
1744194449.3125317,174080,-208.2502899169922
1744194474.343257,176128,-207.82452392578125
1744194499.3740993,178176,-207.025390625
1744194524.3980064,180224,-204.63992309570312
1744194548.931101,182272,-203.13987731933594
1744194573.4380765,184320,-195.0673065185547
1744194597.8223329,186368,-190.11276245117188
1744194622.2578983,188416,-186.40232849121094
1744194646.7288272,190464,-182.828125
1744194671.1916206,192512,-185.94566345214844
1744194695.7283049,194560,-185.59390258789062
1744194720.0981004,196608,-184.5712890625
1744194744.551894,198656,-185.69895935058594
1744194769.0969787,200704,-189.94398498535156
1744194793.800253,202752,-187.63790893554688
1744194818.5210757,204800,-185.72064208984375
1744194843.4576356,206848,-182.92689514160156
1744194867.8532708,208896,-180.040283203125
1744194892.3704326,210944,-182.53482055664062
1744194916.7079043,212992,-185.7790069580078
1744194941.1073558,215040,-186.39971923828125
1744194965.5119085,217088,-185.86489868164062
1744194989.9959764,219136,-186.08973693847656
1744195014.3901954,221184,-188.3955841064453
1744195038.7100277,223232,-195.2670440673828
1744195063.087332,225280,-190.0942840576172
1744195087.4686406,227328,-189.1824188232422
1744195112.0373223,229376,-193.66114807128906
1744195136.4167852,231424,-196.09910583496094
1744195160.7836022,233472,-194.93370056152344
1744195185.0968997,235520,-191.9049072265625
1744195209.5034814,237568,-187.0381622314453
1744195233.8339632,239616,-181.94522094726562
1744195258.1590812,241664,-173.9315185546875
1744195282.436381,243712,-178.78204345703125
1744195306.7833045,245760,-174.46177673339844
1744195331.1675043,247808,-168.89312744140625
1744195355.5935853,249856,-166.1225128173828
1744195380.3204236,251904,-163.4258270263672
1744195405.186913,253952,-156.50709533691406
1744195429.9383402,256000,-151.015380859375
1744195455.075468,258048,-149.1597442626953
1744195479.9295626,260096,-144.21926879882812
1744195504.4340265,262144,-141.4691162109375
1744195529.0088763,264192,-140.7041778564453
1744195553.4846442,266240,-138.58111572265625
1744195578.072643,268288,-138.06607055664062
1744195602.6072302,270336,-136.93490600585938
1744195627.1552126,272384,-135.0225372314453
1744195651.586816,274432,-127.82478332519531
1744195676.1019425,276480,-125.30531311035156
1744195700.5279214,278528,-119.80296325683594
1744195724.9948173,280576,-114.82454681396484
1744195749.4499493,282624,-113.6597900390625
