Wall time,Step,Value
1744481411.6809301,2048,-304.33563232421875
1744481435.0995061,4096,-427.2345886230469
1744481458.601878,6144,-455.3139953613281
1744481482.2370708,8192,-509.78912353515625
1744481506.1100557,10240,-528.8670654296875
1744481529.9756346,12288,-522.3715209960938
1744481553.8301442,14336,-517.8551025390625
1744481577.8633592,16384,-529.0285034179688
1744481601.9229796,18432,-533.513671875
1744481626.037904,20480,-529.7254638671875
1744481650.4239497,22528,-526.35400390625
1744481674.5268846,24576,-517.3756103515625
1744481698.774428,26624,-531.501708984375
1744481722.9066262,28672,-527.6542358398438
1744481747.1769922,30720,-519.6602172851562
1744481771.464191,32768,-524.3401489257812
1744481795.5793624,34816,-519.9579467773438
1744481819.6990883,36864,-520.95458984375
1744481843.8947158,38912,-518.3119506835938
1744481868.2815285,40960,-520.9061889648438
1744481892.450731,43008,-518.749755859375
1744481916.4935784,45056,-516.1756591796875
1744481940.5496168,47104,-508.8235778808594
1744481964.623976,49152,-512.7667846679688
1744481988.6324277,51200,-521.1064453125
1744482013.8883674,53248,-522.3777465820312
1744482038.74885,55296,-522.4699096679688
1744482063.603278,57344,-512.1150512695312
1744482088.1230218,59392,-518.62451171875
1744482112.511286,61440,-519.473388671875
1744482137.209238,63488,-515.2576904296875
1744482161.8251107,65536,-510.2667236328125
1744482186.391174,67584,-502.12518310546875
1744482211.1816094,69632,-498.38262939453125
1744482236.0565114,71680,-511.79974365234375
1744482261.1106913,73728,-518.0135498046875
1744482286.2229924,75776,-511.08306884765625
1744482311.0607045,77824,-512.884033203125
1744482335.6376367,79872,-514.2457275390625
1744482360.4904146,81920,-507.51214599609375
1744482385.174841,83968,-498.21795654296875
1744482409.8039804,86016,-492.61737060546875
1744482434.499469,88064,-500.8393859863281
1744482458.9767022,90112,-496.767578125
1744482483.7238777,92160,-483.19036865234375
1744482508.8163083,94208,-485.4596862792969
1744482533.5284684,96256,-483.885498046875
1744482558.309349,98304,-484.6534118652344
1744482583.1851733,100352,-481.25177001953125
1744482608.222925,102400,-475.6052551269531
1744482632.9970171,104448,-463.5445251464844
1744482657.5588188,106496,-464.6631774902344
1744482682.2858677,108544,-457.96380615234375
1744482707.1182303,110592,-445.6863708496094
1744482731.705857,112640,-446.9766540527344
1744482756.4069,114688,-454.3876953125
1744482781.1393237,116736,-452.6470031738281
1744482805.7239034,118784,-449.7378234863281
1744482830.551601,120832,-434.2419128417969
1744482855.0494041,122880,-420.472900390625
1744482879.6496828,124928,-410.2447814941406
1744482904.1515744,126976,-396.79412841796875
1744482928.763347,129024,-387.87493896484375
1744482953.218734,131072,-383.8525695800781
1744482977.8501556,133120,-386.9501037597656
1744483002.3085382,135168,-383.43365478515625
1744483026.9563692,137216,-368.89849853515625
1744483051.4378426,139264,-359.22027587890625
1744483075.9064083,141312,-350.9288635253906
1744483100.566815,143360,-347.3686218261719
1744483125.6028361,145408,-340.7226257324219
1744483150.1577225,147456,-332.8241271972656
1744483174.85609,149504,-318.9505310058594
1744483199.5297058,151552,-307.2103271484375
1744483224.1246026,153600,-304.0526428222656
1744483248.731773,155648,-293.6130065917969
1744483273.2112591,157696,-287.3680419921875
1744483297.745046,159744,-282.1944274902344
1744483322.5144334,161792,-271.6408996582031
1744483347.1165676,163840,-255.4479522705078
1744483371.7567065,165888,-241.71563720703125
1744483396.4485781,167936,-236.52017211914062
1744483421.0369837,169984,-232.2861328125
1744483445.825138,172032,-229.6508331298828
1744483470.5703633,174080,-226.63833618164062
1744483495.3019698,176128,-224.48289489746094
1744483519.8227437,178176,-219.57664489746094
1744483544.5848298,180224,-211.7604217529297
1744483569.2327588,182272,-205.33255004882812
1744483593.9206955,184320,-197.94725036621094
1744483618.5457854,186368,-197.37583923339844
1744483643.1636043,188416,-194.09902954101562
1744483668.3305037,190464,-193.23684692382812
1744483694.4527762,192512,-189.12010192871094
1744483718.6114264,194560,-186.91590881347656
1744483742.5961602,196608,-187.8645782470703
1744483766.6540916,198656,-188.3037109375
1744483790.6917975,200704,-190.26071166992188
1744483814.9214523,202752,-188.5017547607422
1744483838.9297218,204800,-188.2696990966797
1744483862.8573391,206848,-190.22474670410156
1744483886.760545,208896,-189.70169067382812
1744483910.7163343,210944,-190.99221801757812
1744483934.7997644,212992,-193.8692169189453
1744483958.93126,215040,-196.44126892089844
1744483982.981217,217088,-197.91070556640625
1744484007.0544171,219136,-196.76087951660156
1744484031.090022,221184,-195.66688537597656
1744484055.154596,223232,-193.08554077148438
1744484079.3856926,225280,-193.5909881591797
1744484103.5828996,227328,-195.09071350097656
1744484127.5965517,229376,-197.3955535888672
1744484151.555726,231424,-199.0296173095703
1744484175.5401912,233472,-198.69796752929688
1744484199.6147556,235520,-196.6652374267578
1744484223.5554278,237568,-196.31216430664062
1744484247.6748598,239616,-195.5201873779297
1744484271.7911649,241664,-196.8240966796875
1744484297.131309,243712,-194.94712829589844
1744484322.2582994,245760,-195.90054321289062
1744484347.436301,247808,-194.36558532714844
1744484372.727572,249856,-187.83462524414062
1744484397.7178478,251904,-187.70835876464844
1744484423.0256104,253952,-187.02133178710938
1744484448.5668938,256000,-186.10154724121094
1744484473.725123,258048,-185.6616668701172
1744484498.817873,260096,-180.49427795410156
1744484524.1068182,262144,-178.82376098632812
1744484549.3246243,264192,-179.33848571777344
1744484574.78224,266240,-177.5358123779297
1744484600.2030892,268288,-177.1686553955078
1744484625.3213713,270336,-175.6538848876953
1744484650.3467627,272384,-173.6397247314453
1744484675.6277857,274432,-172.80819702148438
1744484700.7740955,276480,-169.69651794433594
