Wall time,Step,Value
1744354333.9957268,2048,-293.02606201171875
1744354357.490558,4096,-351.144775390625
1744354380.9117103,6144,-409.5075988769531
1744354404.5175738,8192,-411.7452697753906
1744354428.2617397,10240,-431.7983093261719
1744354452.1176202,12288,-462.448974609375
1744354476.180523,14336,-458.4215393066406
1744354500.4456453,16384,-482.14727783203125
1744354524.813249,18432,-505.7709655761719
1744354548.9344444,20480,-493.0958251953125
1744354573.0146015,22528,-478.5576171875
1744354597.1842053,24576,-484.9947814941406
1744354621.4832883,26624,-492.6054382324219
1744354645.4584477,28672,-487.9120178222656
1744354669.3799849,30720,-489.0906066894531
1744354693.2810383,32768,-475.9668884277344
1744354717.2232983,34816,-476.8216857910156
1744354741.3746412,36864,-484.5340270996094
1744354765.3230057,38912,-490.7467956542969
1744354790.4919975,40960,-492.24737548828125
1744354815.203137,43008,-500.28875732421875
1744354839.9395485,45056,-504.6072692871094
1744354864.6760945,47104,-506.00201416015625
1744354889.6997933,49152,-508.9087829589844
1744354914.6785884,51200,-505.4107971191406
1744354939.2922857,53248,-504.7962341308594
1744354963.7713811,55296,-513.3068237304688
1744354988.5604076,57344,-514.7767333984375
1744355013.334933,59392,-510.5389404296875
1744355038.3214924,61440,-516.5713500976562
1744355063.5306604,63488,-506.2615661621094
1744355088.6308818,65536,-503.1770935058594
1744355113.744269,67584,-487.9332275390625
1744355138.8114645,69632,-488.162841796875
1744355163.748645,71680,-485.415771484375
1744355188.6047995,73728,-482.0160217285156
1744355213.8581207,75776,-470.7632751464844
1744355238.194755,77824,-464.05218505859375
1744355262.0440376,79872,-449.8987121582031
1744355285.9479718,81920,-448.40740966796875
1744355309.7154605,83968,-442.0619201660156
1744355334.1182444,86016,-425.5710144042969
1744355358.900074,88064,-405.8963623046875
1744355383.5764463,90112,-397.3643798828125
1744355408.417721,92160,-387.1902770996094
1744355432.9244125,94208,-371.5832824707031
1744355457.5648117,96256,-362.1504211425781
1744355482.5221019,98304,-349.1015319824219
1744355508.79635,100352,-340.8473815917969
1744355533.5623133,102400,-334.8578796386719
1744355558.078694,104448,-319.7658386230469
1744355582.6918714,106496,-306.8618469238281
1744355607.6329222,108544,-295.9341125488281
1744355632.3149078,110592,-283.43951416015625
1744355657.0380325,112640,-274.9327392578125
1744355681.6789525,114688,-267.8763122558594
1744355706.530191,116736,-263.1446838378906
1744355731.185897,118784,-255.3829803466797
1744355756.0775406,120832,-249.8213653564453
1744355780.8807092,122880,-239.18450927734375
1744355805.721753,124928,-231.8404998779297
1744355830.3214686,126976,-228.70106506347656
1744355855.0982466,129024,-220.78880310058594
1744355879.9313822,131072,-218.2026824951172
1744355904.7027948,133120,-218.84915161132812
1744355929.3472815,135168,-214.18968200683594
1744355954.1373153,137216,-213.61712646484375
1744355978.7372942,139264,-209.43984985351562
1744356003.616058,141312,-204.01483154296875
1744356028.4559388,143360,-192.9171905517578
1744356053.215845,145408,-191.50494384765625
1744356077.923057,147456,-189.8748779296875
1744356102.756669,149504,-188.24034118652344
1744356127.7788656,151552,-191.30316162109375
1744356152.376954,153600,-192.0043182373047
1744356176.9938817,155648,-187.3673858642578
1744356201.802897,157696,-184.6791534423828
1744356226.5964968,159744,-182.6902618408203
1744356251.3372755,161792,-179.66831970214844
1744356276.0303183,163840,-172.90782165527344
1744356300.5303867,165888,-169.65814208984375
1744356325.5492349,167936,-168.69198608398438
1744356350.378938,169984,-169.71969604492188
1744356375.2757826,172032,-171.433837890625
1744356400.1774073,174080,-171.3545684814453
1744356424.9839213,176128,-172.3593292236328
1744356449.782699,178176,-170.70555114746094
1744356474.5615623,180224,-166.92257690429688
1744356499.3970532,182272,-164.82322692871094
1744356524.3363128,184320,-163.5025634765625
1744356549.0718966,186368,-163.83377075195312
1744356573.8750103,188416,-162.72598266601562
1744356598.663714,190464,-164.12779235839844
1744356623.62711,192512,-162.64364624023438
1744356648.5848494,194560,-161.51368713378906
1744356673.434433,196608,-160.28086853027344
1744356698.1780226,198656,-158.04574584960938
1744356723.1115189,200704,-155.2236785888672
1744356747.9656785,202752,-151.3107147216797
1744356772.6641774,204800,-152.44985961914062
1744356797.455811,206848,-151.8073272705078
1744356822.2391264,208896,-150.1829071044922
1744356846.9383576,210944,-150.83961486816406
1744356871.841872,212992,-151.3996124267578
1744356896.6850197,215040,-154.0621795654297
1744356921.5397065,217088,-156.52755737304688
1744356946.3246868,219136,-155.03407287597656
1744356971.3684955,221184,-156.1160888671875
1744356996.1269412,223232,-153.34524536132812
1744357020.9045837,225280,-154.52163696289062
1744357045.7180412,227328,-156.01806640625
1744357070.935471,229376,-158.9768524169922
1744357096.0717242,231424,-159.70864868164062
1744357120.1699438,233472,-158.4185333251953
1744357144.1505961,235520,-156.71192932128906
1744357168.2039907,237568,-158.5704803466797
1744357192.322552,239616,-157.41734313964844
1744357216.4535294,241664,-156.63409423828125
1744357240.497472,243712,-155.30189514160156
1744357264.5666995,245760,-157.25247192382812
1744357288.5778103,247808,-169.91583251953125
1744357312.6124253,249856,-168.91725158691406
1744357336.6969264,251904,-179.04444885253906
1744357360.834559,253952,-179.91395568847656
1744357385.1578152,256000,-185.60015869140625
1744357409.5820973,258048,-185.44647216796875
1744357433.6407888,260096,-181.61703491210938
1744357457.6677842,262144,-183.67361450195312
1744357481.7512038,264192,-192.32276916503906
1744357505.748253,266240,-192.52178955078125
1744357529.7619588,268288,-192.80496215820312
1744357553.7665393,270336,-191.6845245361328
1744357577.8465292,272384,-191.14175415039062
1744357601.768562,274432,-191.6875
1744357625.6780126,276480,-188.5390625
1744357649.6335475,278528,-186.91824340820312
1744357673.6605353,280576,-188.73765563964844
1744357697.6912,282624,-190.47178649902344
1744357721.7752805,284672,-189.56959533691406
1744357746.0533504,286720,-190.52813720703125
1744357770.3112462,288768,-191.4884490966797
1744357794.4811077,290816,-192.07342529296875
1744357818.6434116,292864,-201.38894653320312
1744357842.8139772,294912,-202.48304748535156
1744357866.8677034,296960,-195.47946166992188
1744357891.0318053,299008,-197.7752227783203
1744357915.1537209,301056,-198.49131774902344
1744357939.2575583,303104,-197.848388671875
1744357963.2817075,305152,-194.91058349609375
1744357987.323522,307200,-198.88229370117188
1744358011.4194915,309248,-201.21502685546875
1744358035.5433826,311296,-200.8500213623047
1744358059.7918365,313344,-196.93032836914062
1744358084.0568118,315392,-189.06658935546875
1744358108.227333,317440,-196.61094665527344
1744358132.3644822,319488,-197.60040283203125
1744358156.4052525,321536,-196.95059204101562
1744358180.5883155,323584,-199.1251678466797
1744358204.8288612,325632,-204.28736877441406
1744358229.0537817,327680,-206.06033325195312
1744358253.3166864,329728,-203.3919677734375
1744358277.5294318,331776,-202.24679565429688
1744358301.6568663,333824,-201.0883026123047
1744358325.8464894,335872,-203.2937469482422
1744358350.0274887,337920,-203.27655029296875
1744358374.2528317,339968,-204.2662811279297
1744358398.4609764,342016,-196.7425537109375
1744358422.7613323,344064,-196.38905334472656
1744358447.0831501,346112,-189.47909545898438
1744358471.408563,348160,-189.97738647460938
1744358495.5842469,350208,-187.8602752685547
1744358519.848248,352256,-182.5561065673828
1744358544.3003821,354304,-181.21554565429688
1744358568.5774798,356352,-196.64849853515625
1744358592.9263601,358400,-198.5986785888672
1744358617.28741,360448,-199.6606903076172
1744358641.6883626,362496,-198.6940460205078
1744358666.3440306,364544,-205.5324249267578
1744358691.0337033,366592,-215.58917236328125
1744358715.4126537,368640,-206.3599395751953
1744358739.681198,370688,-206.63916015625
1744358763.9838963,372736,-205.91737365722656
1744358788.3769653,374784,-209.9973907470703
1744358812.791743,376832,-209.03273010253906
1744358837.1325042,378880,-210.29685974121094
1744358861.466554,380928,-211.9801025390625
1744358885.693324,382976,-215.21946716308594
1744358910.0852098,385024,-215.64454650878906
1744358934.2936974,387072,-216.5927276611328
1744358958.5935338,389120,-215.80636596679688
1744358982.9320822,391168,-218.86476135253906
1744359007.2322729,393216,-216.38629150390625
1744359031.550275,395264,-218.48390197753906
1744359055.9192424,397312,-217.68287658691406
1744359080.2220836,399360,-216.94949340820312
1744359104.5624192,401408,-216.38327026367188
1744359128.8988273,403456,-217.59886169433594
1744359153.2002764,405504,-204.12100219726562
1744359177.543839,407552,-195.41729736328125
1744359201.8051124,409600,-194.19012451171875
1744359226.20305,411648,-195.82803344726562
1744359250.6178422,413696,-194.38807678222656
1744359274.9099164,415744,-183.91668701171875
1744359299.187985,417792,-189.33251953125
1744359323.5091558,419840,-186.27291870117188
1744359347.8316035,421888,-186.08175659179688
1744359372.135332,423936,-177.15780639648438
1744359396.4327993,425984,-175.97752380371094
1744359420.9179015,428032,-184.00674438476562
1744359445.298271,430080,-183.55662536621094
1744359469.5599546,432128,-180.5918731689453
1744359493.8284833,434176,-180.66915893554688
1744359518.123158,436224,-178.87571716308594
1744359542.4591534,438272,-179.77255249023438
1744359566.924366,440320,-176.4765625
1744359591.2267392,442368,-178.83924865722656
1744359615.7557309,444416,-179.31642150878906
1744359640.0143194,446464,-177.74713134765625
1744359664.4485316,448512,-177.131591796875
1744359688.887211,450560,-179.45545959472656
1744359713.5282173,452608,-176.4234619140625
1744359738.236871,454656,-175.85311889648438
1744359762.6064491,456704,-173.2264404296875
1744359786.9275842,458752,-172.6915283203125
1744359811.333631,460800,-170.5648651123047
1744359835.7142184,462848,-169.01388549804688
1744359860.0251687,464896,-166.08775329589844
1744359884.3286836,466944,-158.65521240234375
1744359908.765322,468992,-158.09654235839844
1744359933.1812131,471040,-156.98101806640625
1744359957.5684862,473088,-159.86932373046875
1744359982.1839833,475136,-159.77957153320312
1744360006.6993778,477184,-159.9879608154297
1744360031.1739068,479232,-149.4849090576172
1744360055.7473834,481280,-150.76675415039062
1744360080.1341197,483328,-150.18252563476562
